Systematic Name,Standard Name,complex,term_link,gene_link
YBR091C,TIM12,mitochondrial inner membrane protein insertion complex,<a href='https://www.yeastgenome.org/go/GO:0042721' target='_blank'>mitochondrial inner membrane protein insertion complex</a>,<a href='https://www.yeastgenome.org/locus/YBR091C/go' target='_blank'>YBR091C</a>
YNL308C,KRI1,90S preribosome,<a href='https://www.yeastgenome.org/go/GO:0030686' target='_blank'>90S preribosome</a>,<a href='https://www.yeastgenome.org/locus/YNL308C/go' target='_blank'>YNL308C</a>
YNL308C,KRI1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YNL308C/go' target='_blank'>YNL308C</a>
YNL308C,KRI1,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YNL308C/go' target='_blank'>YNL308C</a>
YPR112C,MRD1,90S preribosome,<a href='https://www.yeastgenome.org/go/GO:0030686' target='_blank'>90S preribosome</a>,<a href='https://www.yeastgenome.org/locus/YPR112C/go' target='_blank'>YPR112C</a>
YPR112C,MRD1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YPR112C/go' target='_blank'>YPR112C</a>
YPR112C,MRD1,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YPR112C/go' target='_blank'>YPR112C</a>
YNL288W,CAF40,CCR4-NOT complex,<a href='https://www.yeastgenome.org/go/GO:0030014' target='_blank'>CCR4-NOT complex</a>,<a href='https://www.yeastgenome.org/locus/YNL288W/go' target='_blank'>YNL288W</a>
YNL288W,CAF40,CCR4-NOT core complex,<a href='https://www.yeastgenome.org/go/GO:0030015' target='_blank'>CCR4-NOT core complex</a>,<a href='https://www.yeastgenome.org/locus/YNL288W/go' target='_blank'>YNL288W</a>
YEL020W-A,TIM9,mitochondrial inner membrane protein insertion complex,<a href='https://www.yeastgenome.org/go/GO:0042721' target='_blank'>mitochondrial inner membrane protein insertion complex</a>,<a href='https://www.yeastgenome.org/locus/YEL020W-A/go' target='_blank'>YEL020W-A</a>
YEL020W-A,TIM9,mitochondrial intermembrane space protein transporter complex,<a href='https://www.yeastgenome.org/go/GO:0042719' target='_blank'>mitochondrial intermembrane space protein transporter complex</a>,<a href='https://www.yeastgenome.org/locus/YEL020W-A/go' target='_blank'>YEL020W-A</a>
YNL273W,TOF1,replication fork protection complex,<a href='https://www.yeastgenome.org/go/GO:0031298' target='_blank'>replication fork protection complex</a>,<a href='https://www.yeastgenome.org/locus/YNL273W/go' target='_blank'>YNL273W</a>
YIL071C,PCI8,COP9 signalosome,<a href='https://www.yeastgenome.org/go/GO:0008180' target='_blank'>COP9 signalosome</a>,<a href='https://www.yeastgenome.org/locus/YIL071C/go' target='_blank'>YIL071C</a>
YIL063C,YRB2,nuclear pore,<a href='https://www.yeastgenome.org/go/GO:0005643' target='_blank'>nuclear pore</a>,<a href='https://www.yeastgenome.org/locus/YIL063C/go' target='_blank'>YIL063C</a>
YGL086W,MAD1,"chromosome, centromeric region","<a href='https://www.yeastgenome.org/go/GO:0000775' target='_blank'>chromosome, centromeric region</a>",<a href='https://www.yeastgenome.org/locus/YGL086W/go' target='_blank'>YGL086W</a>
YGL086W,MAD1,condensed nuclear chromosome kinetochore,<a href='https://www.yeastgenome.org/go/GO:0000778' target='_blank'>condensed nuclear chromosome kinetochore</a>,<a href='https://www.yeastgenome.org/locus/YGL086W/go' target='_blank'>YGL086W</a>
YGL086W,MAD1,"condensed nuclear chromosome, centromeric region","<a href='https://www.yeastgenome.org/go/GO:0000780' target='_blank'>condensed nuclear chromosome, centromeric region</a>",<a href='https://www.yeastgenome.org/locus/YGL086W/go' target='_blank'>YGL086W</a>
YGL086W,MAD1,kinetochore,<a href='https://www.yeastgenome.org/go/GO:0000776' target='_blank'>kinetochore</a>,<a href='https://www.yeastgenome.org/locus/YGL086W/go' target='_blank'>YGL086W</a>
YGL086W,MAD1,nuclear pore,<a href='https://www.yeastgenome.org/go/GO:0005643' target='_blank'>nuclear pore</a>,<a href='https://www.yeastgenome.org/locus/YGL086W/go' target='_blank'>YGL086W</a>
YHR216W,IMD2,chromatin,<a href='https://www.yeastgenome.org/go/GO:0000785' target='_blank'>chromatin</a>,<a href='https://www.yeastgenome.org/locus/YHR216W/go' target='_blank'>YHR216W</a>
YDR013W,PSF1,DNA replication preinitiation complex,<a href='https://www.yeastgenome.org/go/GO:0031261' target='_blank'>DNA replication preinitiation complex</a>,<a href='https://www.yeastgenome.org/locus/YDR013W/go' target='_blank'>YDR013W</a>
YDR013W,PSF1,GINS complex,<a href='https://www.yeastgenome.org/go/GO:0000811' target='_blank'>GINS complex</a>,<a href='https://www.yeastgenome.org/locus/YDR013W/go' target='_blank'>YDR013W</a>
YDR013W,PSF1,replication fork protection complex,<a href='https://www.yeastgenome.org/go/GO:0031298' target='_blank'>replication fork protection complex</a>,<a href='https://www.yeastgenome.org/locus/YDR013W/go' target='_blank'>YDR013W</a>
YFR019W,FAB1,PAS complex,<a href='https://www.yeastgenome.org/go/GO:0070772' target='_blank'>PAS complex</a>,<a href='https://www.yeastgenome.org/locus/YFR019W/go' target='_blank'>YFR019W</a>
YJL203W,PRP21,U2 snRNP,<a href='https://www.yeastgenome.org/go/GO:0005686' target='_blank'>U2 snRNP</a>,<a href='https://www.yeastgenome.org/locus/YJL203W/go' target='_blank'>YJL203W</a>
YJL203W,PRP21,U2-type prespliceosome,<a href='https://www.yeastgenome.org/go/GO:0071004' target='_blank'>U2-type prespliceosome</a>,<a href='https://www.yeastgenome.org/locus/YJL203W/go' target='_blank'>YJL203W</a>
YJL203W,PRP21,U2-type spliceosomal complex,<a href='https://www.yeastgenome.org/go/GO:0005684' target='_blank'>U2-type spliceosomal complex</a>,<a href='https://www.yeastgenome.org/locus/YJL203W/go' target='_blank'>YJL203W</a>
YJL203W,PRP21,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YJL203W/go' target='_blank'>YJL203W</a>
YJL203W,PRP21,small nuclear ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030532' target='_blank'>small nuclear ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YJL203W/go' target='_blank'>YJL203W</a>
YJL203W,PRP21,spliceosomal complex,<a href='https://www.yeastgenome.org/go/GO:0005681' target='_blank'>spliceosomal complex</a>,<a href='https://www.yeastgenome.org/locus/YJL203W/go' target='_blank'>YJL203W</a>
YKR086W,PRP16,U2-type catalytic step 2 spliceosome,<a href='https://www.yeastgenome.org/go/GO:0071007' target='_blank'>U2-type catalytic step 2 spliceosome</a>,<a href='https://www.yeastgenome.org/locus/YKR086W/go' target='_blank'>YKR086W</a>
YKR086W,PRP16,U2-type spliceosomal complex,<a href='https://www.yeastgenome.org/go/GO:0005684' target='_blank'>U2-type spliceosomal complex</a>,<a href='https://www.yeastgenome.org/locus/YKR086W/go' target='_blank'>YKR086W</a>
YKR086W,PRP16,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YKR086W/go' target='_blank'>YKR086W</a>
YKR086W,PRP16,spliceosomal complex,<a href='https://www.yeastgenome.org/go/GO:0005681' target='_blank'>spliceosomal complex</a>,<a href='https://www.yeastgenome.org/locus/YKR086W/go' target='_blank'>YKR086W</a>
YKR081C,RPF2,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YKR081C/go' target='_blank'>YKR081C</a>
YKR081C,RPF2,"preribosome, large subunit precursor","<a href='https://www.yeastgenome.org/go/GO:0030687' target='_blank'>preribosome, large subunit precursor</a>",<a href='https://www.yeastgenome.org/locus/YKR081C/go' target='_blank'>YKR081C</a>
YKR081C,RPF2,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YKR081C/go' target='_blank'>YKR081C</a>
YIL093C,RSM25,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YIL093C/go' target='_blank'>YIL093C</a>
YIL093C,RSM25,mitochondrial ribosome,<a href='https://www.yeastgenome.org/go/GO:0005761' target='_blank'>mitochondrial ribosome</a>,<a href='https://www.yeastgenome.org/locus/YIL093C/go' target='_blank'>YIL093C</a>
YIL093C,RSM25,mitochondrial small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0005763' target='_blank'>mitochondrial small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YIL093C/go' target='_blank'>YIL093C</a>
YIL093C,RSM25,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YIL093C/go' target='_blank'>YIL093C</a>
YIL093C,RSM25,small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015935' target='_blank'>small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YIL093C/go' target='_blank'>YIL093C</a>
YDR113C,PDS1,spindle,<a href='https://www.yeastgenome.org/go/GO:0005819' target='_blank'>spindle</a>,<a href='https://www.yeastgenome.org/locus/YDR113C/go' target='_blank'>YDR113C</a>
YLR352W,LUG1,SCF ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0019005' target='_blank'>SCF ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YLR352W/go' target='_blank'>YLR352W</a>
YLR352W,LUG1,ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0000151' target='_blank'>ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YLR352W/go' target='_blank'>YLR352W</a>
YLR289W,GUF1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YLR289W/go' target='_blank'>YLR289W</a>
YLR289W,GUF1,mitochondrial ribosome,<a href='https://www.yeastgenome.org/go/GO:0005761' target='_blank'>mitochondrial ribosome</a>,<a href='https://www.yeastgenome.org/locus/YLR289W/go' target='_blank'>YLR289W</a>
YLR289W,GUF1,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YLR289W/go' target='_blank'>YLR289W</a>
YPR164W,MMS1,Cul8-RING ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0035361' target='_blank'>Cul8-RING ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YPR164W/go' target='_blank'>YPR164W</a>
YPR164W,MMS1,ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0000151' target='_blank'>ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YPR164W/go' target='_blank'>YPR164W</a>
YGR102C,GTF1,glutamyl-tRNA(Gln) amidotransferase complex,<a href='https://www.yeastgenome.org/go/GO:0030956' target='_blank'>glutamyl-tRNA(Gln) amidotransferase complex</a>,<a href='https://www.yeastgenome.org/locus/YGR102C/go' target='_blank'>YGR102C</a>
YJL123C,MTC1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YJL123C/go' target='_blank'>YJL123C</a>
YJL123C,MTC1,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YJL123C/go' target='_blank'>YJL123C</a>
YJL125C,GCD14,tRNA (m1A) methyltransferase complex,<a href='https://www.yeastgenome.org/go/GO:0031515' target='_blank'>tRNA (m1A) methyltransferase complex</a>,<a href='https://www.yeastgenome.org/locus/YJL125C/go' target='_blank'>YJL125C</a>
YJL125C,GCD14,tRNA methyltransferase complex,<a href='https://www.yeastgenome.org/go/GO:0043527' target='_blank'>tRNA methyltransferase complex</a>,<a href='https://www.yeastgenome.org/locus/YJL125C/go' target='_blank'>YJL125C</a>
YOR173W,DCS2,P-body,<a href='https://www.yeastgenome.org/go/GO:0000932' target='_blank'>P-body</a>,<a href='https://www.yeastgenome.org/locus/YOR173W/go' target='_blank'>YOR173W</a>
YOR173W,DCS2,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YOR173W/go' target='_blank'>YOR173W</a>
YBL035C,POL12,alpha DNA polymerase:primase complex,<a href='https://www.yeastgenome.org/go/GO:0005658' target='_blank'>alpha DNA polymerase:primase complex</a>,<a href='https://www.yeastgenome.org/locus/YBL035C/go' target='_blank'>YBL035C</a>
YML060W,OGG1,CBF3 complex,<a href='https://www.yeastgenome.org/go/GO:0031518' target='_blank'>CBF3 complex</a>,<a href='https://www.yeastgenome.org/locus/YML060W/go' target='_blank'>YML060W</a>
YML060W,OGG1,"chromosome, centromeric region","<a href='https://www.yeastgenome.org/go/GO:0000775' target='_blank'>chromosome, centromeric region</a>",<a href='https://www.yeastgenome.org/locus/YML060W/go' target='_blank'>YML060W</a>
YPL233W,NSL1,"chromosome, centromeric region","<a href='https://www.yeastgenome.org/go/GO:0000775' target='_blank'>chromosome, centromeric region</a>",<a href='https://www.yeastgenome.org/locus/YPL233W/go' target='_blank'>YPL233W</a>
YPL233W,NSL1,condensed nuclear chromosome kinetochore,<a href='https://www.yeastgenome.org/go/GO:0000778' target='_blank'>condensed nuclear chromosome kinetochore</a>,<a href='https://www.yeastgenome.org/locus/YPL233W/go' target='_blank'>YPL233W</a>
YPL233W,NSL1,"condensed nuclear chromosome, centromeric region","<a href='https://www.yeastgenome.org/go/GO:0000780' target='_blank'>condensed nuclear chromosome, centromeric region</a>",<a href='https://www.yeastgenome.org/locus/YPL233W/go' target='_blank'>YPL233W</a>
YPL233W,NSL1,kinetochore,<a href='https://www.yeastgenome.org/go/GO:0000776' target='_blank'>kinetochore</a>,<a href='https://www.yeastgenome.org/locus/YPL233W/go' target='_blank'>YPL233W</a>
YPL233W,NSL1,nuclear MIS12/MIND complex,<a href='https://www.yeastgenome.org/go/GO:0000818' target='_blank'>nuclear MIS12/MIND complex</a>,<a href='https://www.yeastgenome.org/locus/YPL233W/go' target='_blank'>YPL233W</a>
YPL233W,NSL1,spindle pole,<a href='https://www.yeastgenome.org/go/GO:0000922' target='_blank'>spindle pole</a>,<a href='https://www.yeastgenome.org/locus/YPL233W/go' target='_blank'>YPL233W</a>
YPL233W,NSL1,spindle,<a href='https://www.yeastgenome.org/go/GO:0005819' target='_blank'>spindle</a>,<a href='https://www.yeastgenome.org/locus/YPL233W/go' target='_blank'>YPL233W</a>
YGR274C,TAF1,"DNA-directed RNA polymerase II, holoenzyme","<a href='https://www.yeastgenome.org/go/GO:0016591' target='_blank'>DNA-directed RNA polymerase II, holoenzyme</a>",<a href='https://www.yeastgenome.org/locus/YGR274C/go' target='_blank'>YGR274C</a>
YGR274C,TAF1,RNA polymerase II transcription factor complex,<a href='https://www.yeastgenome.org/go/GO:0090575' target='_blank'>RNA polymerase II transcription factor complex</a>,<a href='https://www.yeastgenome.org/locus/YGR274C/go' target='_blank'>YGR274C</a>
YGR274C,TAF1,transcription factor TFIID complex,<a href='https://www.yeastgenome.org/go/GO:0005669' target='_blank'>transcription factor TFIID complex</a>,<a href='https://www.yeastgenome.org/locus/YGR274C/go' target='_blank'>YGR274C</a>
YGR274C,TAF1,transcription factor complex,<a href='https://www.yeastgenome.org/go/GO:0005667' target='_blank'>transcription factor complex</a>,<a href='https://www.yeastgenome.org/locus/YGR274C/go' target='_blank'>YGR274C</a>
YLR066W,SPC3,signal peptidase complex,<a href='https://www.yeastgenome.org/go/GO:0005787' target='_blank'>signal peptidase complex</a>,<a href='https://www.yeastgenome.org/locus/YLR066W/go' target='_blank'>YLR066W</a>
YCL063W,VAC17,Myo2p-Vac17p-Vac8p transport complex,<a href='https://www.yeastgenome.org/go/GO:0071563' target='_blank'>Myo2p-Vac17p-Vac8p transport complex</a>,<a href='https://www.yeastgenome.org/locus/YCL063W/go' target='_blank'>YCL063W</a>
YAR007C,RFA1,DNA replication factor A complex,<a href='https://www.yeastgenome.org/go/GO:0005662' target='_blank'>DNA replication factor A complex</a>,<a href='https://www.yeastgenome.org/locus/YAR007C/go' target='_blank'>YAR007C</a>
YGR253C,PUP2,proteasome complex,<a href='https://www.yeastgenome.org/go/GO:0000502' target='_blank'>proteasome complex</a>,<a href='https://www.yeastgenome.org/locus/YGR253C/go' target='_blank'>YGR253C</a>
YGR253C,PUP2,"proteasome core complex, alpha-subunit complex","<a href='https://www.yeastgenome.org/go/GO:0019773' target='_blank'>proteasome core complex, alpha-subunit complex</a>",<a href='https://www.yeastgenome.org/locus/YGR253C/go' target='_blank'>YGR253C</a>
YGR253C,PUP2,proteasome core complex,<a href='https://www.yeastgenome.org/go/GO:0005839' target='_blank'>proteasome core complex</a>,<a href='https://www.yeastgenome.org/locus/YGR253C/go' target='_blank'>YGR253C</a>
YGR253C,PUP2,proteasome storage granule,<a href='https://www.yeastgenome.org/go/GO:0034515' target='_blank'>proteasome storage granule</a>,<a href='https://www.yeastgenome.org/locus/YGR253C/go' target='_blank'>YGR253C</a>
YGL064C,MRH4,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YGL064C/go' target='_blank'>YGL064C</a>
YGL064C,MRH4,large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015934' target='_blank'>large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YGL064C/go' target='_blank'>YGL064C</a>
YGL064C,MRH4,mitochondrial large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0005762' target='_blank'>mitochondrial large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YGL064C/go' target='_blank'>YGL064C</a>
YGL064C,MRH4,mitochondrial ribosome,<a href='https://www.yeastgenome.org/go/GO:0005761' target='_blank'>mitochondrial ribosome</a>,<a href='https://www.yeastgenome.org/locus/YGL064C/go' target='_blank'>YGL064C</a>
YGL064C,MRH4,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YGL064C/go' target='_blank'>YGL064C</a>
YLR197W,NOP56,90S preribosome,<a href='https://www.yeastgenome.org/go/GO:0030686' target='_blank'>90S preribosome</a>,<a href='https://www.yeastgenome.org/locus/YLR197W/go' target='_blank'>YLR197W</a>
YLR197W,NOP56,box C/D snoRNP complex,<a href='https://www.yeastgenome.org/go/GO:0031428' target='_blank'>box C/D snoRNP complex</a>,<a href='https://www.yeastgenome.org/locus/YLR197W/go' target='_blank'>YLR197W</a>
YLR197W,NOP56,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YLR197W/go' target='_blank'>YLR197W</a>
YLR197W,NOP56,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YLR197W/go' target='_blank'>YLR197W</a>
YLR197W,NOP56,small nucleolar ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0005732' target='_blank'>small nucleolar ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YLR197W/go' target='_blank'>YLR197W</a>
YLR197W,NOP56,small-subunit processome,<a href='https://www.yeastgenome.org/go/GO:0032040' target='_blank'>small-subunit processome</a>,<a href='https://www.yeastgenome.org/locus/YLR197W/go' target='_blank'>YLR197W</a>
snR55,,box C/D snoRNP complex,<a href='https://www.yeastgenome.org/go/GO:0031428' target='_blank'>box C/D snoRNP complex</a>,<a href='https://www.yeastgenome.org/locus/snR55/go' target='_blank'>snR55</a>
snR55,,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/snR55/go' target='_blank'>snR55</a>
snR55,,small nucleolar ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0005732' target='_blank'>small nucleolar ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/snR55/go' target='_blank'>snR55</a>
YBR275C,RIF1,nuclear telomere cap complex,<a href='https://www.yeastgenome.org/go/GO:0000783' target='_blank'>nuclear telomere cap complex</a>,<a href='https://www.yeastgenome.org/locus/YBR275C/go' target='_blank'>YBR275C</a>
YBR275C,RIF1,telosome,<a href='https://www.yeastgenome.org/go/GO:0070187' target='_blank'>telosome</a>,<a href='https://www.yeastgenome.org/locus/YBR275C/go' target='_blank'>YBR275C</a>
YPR163C,TIF3,cytoplasmic stress granule,<a href='https://www.yeastgenome.org/go/GO:0010494' target='_blank'>cytoplasmic stress granule</a>,<a href='https://www.yeastgenome.org/locus/YPR163C/go' target='_blank'>YPR163C</a>
YPR163C,TIF3,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YPR163C/go' target='_blank'>YPR163C</a>
YPR163C,TIF3,cytosolic small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022627' target='_blank'>cytosolic small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YPR163C/go' target='_blank'>YPR163C</a>
YPR163C,TIF3,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YPR163C/go' target='_blank'>YPR163C</a>
YPR163C,TIF3,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YPR163C/go' target='_blank'>YPR163C</a>
YPR163C,TIF3,small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015935' target='_blank'>small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YPR163C/go' target='_blank'>YPR163C</a>
YDL232W,OST4,oligosaccharyltransferase complex,<a href='https://www.yeastgenome.org/go/GO:0008250' target='_blank'>oligosaccharyltransferase complex</a>,<a href='https://www.yeastgenome.org/locus/YDL232W/go' target='_blank'>YDL232W</a>
YPR007C,REC8,"chromosome, centromeric region","<a href='https://www.yeastgenome.org/go/GO:0000775' target='_blank'>chromosome, centromeric region</a>",<a href='https://www.yeastgenome.org/locus/YPR007C/go' target='_blank'>YPR007C</a>
YPR007C,REC8,"condensed nuclear chromosome, centromeric region","<a href='https://www.yeastgenome.org/go/GO:0000780' target='_blank'>condensed nuclear chromosome, centromeric region</a>",<a href='https://www.yeastgenome.org/locus/YPR007C/go' target='_blank'>YPR007C</a>
YPL235W,RVB2,ASTRA complex,<a href='https://www.yeastgenome.org/go/GO:0070209' target='_blank'>ASTRA complex</a>,<a href='https://www.yeastgenome.org/locus/YPL235W/go' target='_blank'>YPL235W</a>
YPL235W,RVB2,Ino80 complex,<a href='https://www.yeastgenome.org/go/GO:0031011' target='_blank'>Ino80 complex</a>,<a href='https://www.yeastgenome.org/locus/YPL235W/go' target='_blank'>YPL235W</a>
YPL235W,RVB2,R2TP complex,<a href='https://www.yeastgenome.org/go/GO:0097255' target='_blank'>R2TP complex</a>,<a href='https://www.yeastgenome.org/locus/YPL235W/go' target='_blank'>YPL235W</a>
YPL235W,RVB2,Swr1 complex,<a href='https://www.yeastgenome.org/go/GO:0000812' target='_blank'>Swr1 complex</a>,<a href='https://www.yeastgenome.org/locus/YPL235W/go' target='_blank'>YPL235W</a>
YPL235W,RVB2,chromatin,<a href='https://www.yeastgenome.org/go/GO:0000785' target='_blank'>chromatin</a>,<a href='https://www.yeastgenome.org/locus/YPL235W/go' target='_blank'>YPL235W</a>
YPL235W,RVB2,nuclear chromatin,<a href='https://www.yeastgenome.org/go/GO:0000790' target='_blank'>nuclear chromatin</a>,<a href='https://www.yeastgenome.org/locus/YPL235W/go' target='_blank'>YPL235W</a>
YPL235W,RVB2,nuclear heterochromatin,<a href='https://www.yeastgenome.org/go/GO:0005720' target='_blank'>nuclear heterochromatin</a>,<a href='https://www.yeastgenome.org/locus/YPL235W/go' target='_blank'>YPL235W</a>
YPL235W,RVB2,nuclear telomeric heterochromatin,<a href='https://www.yeastgenome.org/go/GO:0005724' target='_blank'>nuclear telomeric heterochromatin</a>,<a href='https://www.yeastgenome.org/locus/YPL235W/go' target='_blank'>YPL235W</a>
YIL035C,CKA1,90S preribosome,<a href='https://www.yeastgenome.org/go/GO:0030686' target='_blank'>90S preribosome</a>,<a href='https://www.yeastgenome.org/locus/YIL035C/go' target='_blank'>YIL035C</a>
YIL035C,CKA1,UTP-C complex,<a href='https://www.yeastgenome.org/go/GO:0034456' target='_blank'>UTP-C complex</a>,<a href='https://www.yeastgenome.org/locus/YIL035C/go' target='_blank'>YIL035C</a>
YIL035C,CKA1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YIL035C/go' target='_blank'>YIL035C</a>
YIL035C,CKA1,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YIL035C/go' target='_blank'>YIL035C</a>
YIL035C,CKA1,protein kinase CK2 complex,<a href='https://www.yeastgenome.org/go/GO:0005956' target='_blank'>protein kinase CK2 complex</a>,<a href='https://www.yeastgenome.org/locus/YIL035C/go' target='_blank'>YIL035C</a>
snR17b,,90S preribosome,<a href='https://www.yeastgenome.org/go/GO:0030686' target='_blank'>90S preribosome</a>,<a href='https://www.yeastgenome.org/locus/snR17b/go' target='_blank'>snR17b</a>
snR17b,,box C/D snoRNP complex,<a href='https://www.yeastgenome.org/go/GO:0031428' target='_blank'>box C/D snoRNP complex</a>,<a href='https://www.yeastgenome.org/locus/snR17b/go' target='_blank'>snR17b</a>
snR17b,,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/snR17b/go' target='_blank'>snR17b</a>
snR17b,,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/snR17b/go' target='_blank'>snR17b</a>
snR17b,,small nucleolar ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0005732' target='_blank'>small nucleolar ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/snR17b/go' target='_blank'>snR17b</a>
snR17b,,small-subunit processome,<a href='https://www.yeastgenome.org/go/GO:0032040' target='_blank'>small-subunit processome</a>,<a href='https://www.yeastgenome.org/locus/snR17b/go' target='_blank'>snR17b</a>
