Systematic Name,Standard Name,pathway,Reference,term_link,gene_link
YGR060W,ERG25,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YGR060W' target='_blank'>YGR060W</a>
YGR060W,ERG25,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YGR060W' target='_blank'>YGR060W</a>
YGR060W,ERG25,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YGR060W' target='_blank'>YGR060W</a>
YGR060W,ERG25,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YGR060W' target='_blank'>YGR060W</a>
YGR060W,ERG25,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YGR060W' target='_blank'>YGR060W</a>
YNL280C,ERG24,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YNL280C' target='_blank'>YNL280C</a>
YGL012W,ERG4,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YGL012W' target='_blank'>YGL012W</a>
YML008C,ERG6,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YML008C' target='_blank'>YML008C</a>
YHR190W,ERG9,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YHR190W' target='_blank'>YHR190W</a>
YJL167W,ERG20,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YJL167W' target='_blank'>YJL167W</a>
YHR190W,ERG9,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YHR190W' target='_blank'>YHR190W</a>
YJL167W,ERG20,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YJL167W' target='_blank'>YJL167W</a>
YHR072W,ERG7,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YHR072W' target='_blank'>YHR072W</a>
YGR175C,ERG1,ergosterol biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8561481' target='_blank'>8561481</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000079645' target='_blank'>S000079645</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/8552601' target='_blank'>8552601</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12119386' target='_blank'>12119386</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-31704"" target=""_blank"">ergosterol biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YGR175C' target='_blank'>YGR175C</a>
YOL086C,ADH1,ethanol degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2171877' target='_blank'>2171877</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11024040' target='_blank'>11024040</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000071144' target='_blank'>S000071144</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4300"" target=""_blank"">ethanol degradation</a>",<a href='https://www.yeastgenome.org/locus/YOL086C' target='_blank'>YOL086C</a>
YMR303C,ADH2,ethanol degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2171877' target='_blank'>2171877</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11024040' target='_blank'>11024040</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000071144' target='_blank'>S000071144</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4300"" target=""_blank"">ethanol degradation</a>",<a href='https://www.yeastgenome.org/locus/YMR303C' target='_blank'>YMR303C</a>
YMR083W,ADH3,ethanol degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2171877' target='_blank'>2171877</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11024040' target='_blank'>11024040</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000071144' target='_blank'>S000071144</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4300"" target=""_blank"">ethanol degradation</a>",<a href='https://www.yeastgenome.org/locus/YMR083W' target='_blank'>YMR083W</a>
YGL256W,ADH4,ethanol degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2171877' target='_blank'>2171877</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11024040' target='_blank'>11024040</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000071144' target='_blank'>S000071144</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4300"" target=""_blank"">ethanol degradation</a>",<a href='https://www.yeastgenome.org/locus/YGL256W' target='_blank'>YGL256W</a>
YBR145W,ADH5,ethanol degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2171877' target='_blank'>2171877</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11024040' target='_blank'>11024040</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000071144' target='_blank'>S000071144</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4300"" target=""_blank"">ethanol degradation</a>",<a href='https://www.yeastgenome.org/locus/YBR145W' target='_blank'>YBR145W</a>
YAL054C,ACS1,ethanol degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2171877' target='_blank'>2171877</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11024040' target='_blank'>11024040</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000071144' target='_blank'>S000071144</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4300"" target=""_blank"">ethanol degradation</a>",<a href='https://www.yeastgenome.org/locus/YAL054C' target='_blank'>YAL054C</a>
YLR153C,ACS2,ethanol degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2171877' target='_blank'>2171877</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11024040' target='_blank'>11024040</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000071144' target='_blank'>S000071144</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4300"" target=""_blank"">ethanol degradation</a>",<a href='https://www.yeastgenome.org/locus/YLR153C' target='_blank'>YLR153C</a>
YMR170C,ALD2,ethanol degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2171877' target='_blank'>2171877</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11024040' target='_blank'>11024040</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000071144' target='_blank'>S000071144</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-4300"" target=""_blank"">ethanol degradation</a>",<a href='https://www.yeastgenome.org/locus/YMR170C' target='_blank'>YMR170C</a>
YKL182W,FAS1,fatty acid biosynthesis (concise), ,"<a href="""" target=""_blank"">fatty acid biosynthesis (concise)</a>",<a href='https://www.yeastgenome.org/locus/YKL182W' target='_blank'>YKL182W</a>
YPL231W,FAS2,fatty acid biosynthesis (concise), ,"<a href="""" target=""_blank"">fatty acid biosynthesis (concise)</a>",<a href='https://www.yeastgenome.org/locus/YPL231W' target='_blank'>YPL231W</a>
YKL182W,FAS1,"fatty acid biosynthesis, initial steps",PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/18059524' target='_blank'>18059524</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-10&redirect=T"" target=""_blank"">fatty acid biosynthesis, initial steps</a>",<a href='https://www.yeastgenome.org/locus/YKL182W' target='_blank'>YKL182W</a>
YER061C,CEM1,"fatty acid biosynthesis, initial steps",PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/18059524' target='_blank'>18059524</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-10&redirect=T"" target=""_blank"">fatty acid biosynthesis, initial steps</a>",<a href='https://www.yeastgenome.org/locus/YER061C' target='_blank'>YER061C</a>
YPL231W,FAS2,"fatty acid biosynthesis, initial steps",PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/18059524' target='_blank'>18059524</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-10&redirect=T"" target=""_blank"">fatty acid biosynthesis, initial steps</a>",<a href='https://www.yeastgenome.org/locus/YPL231W' target='_blank'>YPL231W</a>
YPL231W,FAS2,"fatty acid biosynthesis, initial steps",PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/18059524' target='_blank'>18059524</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-10&redirect=T"" target=""_blank"">fatty acid biosynthesis, initial steps</a>",<a href='https://www.yeastgenome.org/locus/YPL231W' target='_blank'>YPL231W</a>
YNR016C,ACC1,"fatty acid biosynthesis, initial steps",PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/18059524' target='_blank'>18059524</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-10&redirect=T"" target=""_blank"">fatty acid biosynthesis, initial steps</a>",<a href='https://www.yeastgenome.org/locus/YNR016C' target='_blank'>YNR016C</a>
YMR207C,HFA1,"fatty acid biosynthesis, initial steps",PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/18059524' target='_blank'>18059524</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-10&redirect=T"" target=""_blank"">fatty acid biosynthesis, initial steps</a>",<a href='https://www.yeastgenome.org/locus/YMR207C' target='_blank'>YMR207C</a>
YKL182W,FAS1,"fatty acid biosynthesis, initial steps",PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/18059524' target='_blank'>18059524</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-10&redirect=T"" target=""_blank"">fatty acid biosynthesis, initial steps</a>",<a href='https://www.yeastgenome.org/locus/YKL182W' target='_blank'>YKL182W</a>
YKL182W,FAS1,"fatty acid biosynthesis, initial steps",PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/18059524' target='_blank'>18059524</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-10&redirect=T"" target=""_blank"">fatty acid biosynthesis, initial steps</a>",<a href='https://www.yeastgenome.org/locus/YKL182W' target='_blank'>YKL182W</a>
YOR221C,MCT1,"fatty acid biosynthesis, initial steps",PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/18059524' target='_blank'>18059524</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-10&redirect=T"" target=""_blank"">fatty acid biosynthesis, initial steps</a>",<a href='https://www.yeastgenome.org/locus/YOR221C' target='_blank'>YOR221C</a>
YKL182W,FAS1,"fatty acid biosynthesis, initial steps",PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/18059524' target='_blank'>18059524</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-10&redirect=T"" target=""_blank"">fatty acid biosynthesis, initial steps</a>",<a href='https://www.yeastgenome.org/locus/YKL182W' target='_blank'>YKL182W</a>
YKL182W,FAS1,fatty acid elongation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=FASYN-ELONG2-PWY&redirect=T"" target=""_blank"">fatty acid elongation</a>",<a href='https://www.yeastgenome.org/locus/YKL182W' target='_blank'>YKL182W</a>
YPL231W,FAS2,fatty acid elongation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=FASYN-ELONG2-PWY&redirect=T"" target=""_blank"">fatty acid elongation</a>",<a href='https://www.yeastgenome.org/locus/YPL231W' target='_blank'>YPL231W</a>
YKL055C,OAR1,fatty acid elongation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=FASYN-ELONG2-PWY&redirect=T"" target=""_blank"">fatty acid elongation</a>",<a href='https://www.yeastgenome.org/locus/YKL055C' target='_blank'>YKL055C</a>
YER061C,CEM1,fatty acid elongation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=FASYN-ELONG2-PWY&redirect=T"" target=""_blank"">fatty acid elongation</a>",<a href='https://www.yeastgenome.org/locus/YER061C' target='_blank'>YER061C</a>
YPL231W,FAS2,fatty acid elongation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=FASYN-ELONG2-PWY&redirect=T"" target=""_blank"">fatty acid elongation</a>",<a href='https://www.yeastgenome.org/locus/YPL231W' target='_blank'>YPL231W</a>
YKL182W,FAS1,fatty acid elongation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000058496' target='_blank'>S000058496</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=FASYN-ELONG2-PWY&redirect=T"" target=""_blank"">fatty acid elongation</a>",<a href='https://www.yeastgenome.org/locus/YKL182W' target='_blank'>YKL182W</a>
YKR009C,FOX2,fatty acid oxidation pathway,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/1551874' target='_blank'>1551874</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000054412' target='_blank'>S000054412</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=YEAST-FAO-PWY&redirect=T"" target=""_blank"">fatty acid oxidation pathway</a>",<a href='https://www.yeastgenome.org/locus/YKR009C' target='_blank'>YKR009C</a>
YIL160C,POT1,fatty acid oxidation pathway,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/1551874' target='_blank'>1551874</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000054412' target='_blank'>S000054412</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=YEAST-FAO-PWY&redirect=T"" target=""_blank"">fatty acid oxidation pathway</a>",<a href='https://www.yeastgenome.org/locus/YIL160C' target='_blank'>YIL160C</a>
YGL205W,POX1,fatty acid oxidation pathway,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/1551874' target='_blank'>1551874</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000054412' target='_blank'>S000054412</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=YEAST-FAO-PWY&redirect=T"" target=""_blank"">fatty acid oxidation pathway</a>",<a href='https://www.yeastgenome.org/locus/YGL205W' target='_blank'>YGL205W</a>
YOR180C,DCI1,fatty acid oxidation pathway,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/1551874' target='_blank'>1551874</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000054412' target='_blank'>S000054412</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=YEAST-FAO-PWY&redirect=T"" target=""_blank"">fatty acid oxidation pathway</a>",<a href='https://www.yeastgenome.org/locus/YOR180C' target='_blank'>YOR180C</a>
YLR284C,ECI1,fatty acid oxidation pathway,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/1551874' target='_blank'>1551874</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000054412' target='_blank'>S000054412</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=YEAST-FAO-PWY&redirect=T"" target=""_blank"">fatty acid oxidation pathway</a>",<a href='https://www.yeastgenome.org/locus/YLR284C' target='_blank'>YLR284C</a>
YKR009C,FOX2,fatty acid oxidation pathway,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/1551874' target='_blank'>1551874</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000054412' target='_blank'>S000054412</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=YEAST-FAO-PWY&redirect=T"" target=""_blank"">fatty acid oxidation pathway</a>",<a href='https://www.yeastgenome.org/locus/YKR009C' target='_blank'>YKR009C</a>
YOR317W,FAA1,fatty acid oxidation pathway,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/1551874' target='_blank'>1551874</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000054412' target='_blank'>S000054412</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=YEAST-FAO-PWY&redirect=T"" target=""_blank"">fatty acid oxidation pathway</a>",<a href='https://www.yeastgenome.org/locus/YOR317W' target='_blank'>YOR317W</a>
YER015W,FAA2,fatty acid oxidation pathway,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/1551874' target='_blank'>1551874</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000054412' target='_blank'>S000054412</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=YEAST-FAO-PWY&redirect=T"" target=""_blank"">fatty acid oxidation pathway</a>",<a href='https://www.yeastgenome.org/locus/YER015W' target='_blank'>YER015W</a>
YIL009W,FAA3,fatty acid oxidation pathway,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/1551874' target='_blank'>1551874</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000054412' target='_blank'>S000054412</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=YEAST-FAO-PWY&redirect=T"" target=""_blank"">fatty acid oxidation pathway</a>",<a href='https://www.yeastgenome.org/locus/YIL009W' target='_blank'>YIL009W</a>
