go_p,count,Systematic Name
chromatin remodeling,78,"['YAL011W', 'YAL019W', 'YAL034C', 'YBL006C', 'YBR089C-A', 'YBR112C', 'YBR231C', 'YBR245C', 'YBR289W', 'YCR020W-B', 'YDL106C', 'YDR096W', 'YDR121W', 'YDR174W', 'YDR190C', 'YDR207C', 'YDR303C', 'YDR334W', 'YDR397C', 'YDR448W', 'YDR485C', 'YEL044W', 'YER030W', 'YER164W', 'YER169W', 'YFR013W', 'YFR034C', 'YFR037C', 'YGL048C', 'YGL150C', 'YGL163C', 'YGR002C', 'YGR056W', 'YGR116W', 'YGR252W', 'YGR275W', 'YHL025W', 'YIL126W', 'YIL131C', 'YJL081C', 'YJL176C', 'YJR060W', 'YJR119C', 'YKL033W', 'YKL062W', 'YKL112W', 'YKR008W', 'YLR033W', 'YLR085C', 'YLR095C', 'YLR321C', 'YLR357W', 'YLR385C', 'YLR399C', 'YML041C', 'YML127W', 'YMR033W', 'YMR037C', 'YMR044W', 'YMR091C', 'YMR176W', 'YNL059C', 'YNL068C', 'YNL107W', 'YNL215W', 'YOL006C', 'YOL012C', 'YOR141C', 'YOR189W', 'YOR290C', 'YOR304W', 'YOR338W', 'YPL016W', 'YPL129W', 'YPL184C', 'YPL235W', 'YPR034W', 'YPR052C']"
chromatin remodeling at centromere,3,"['YIL126W', 'YLR321C', 'YNL088W']"
chromatin silencing,11,"['YBL003C', 'YBL079W', 'YDR225W', 'YGR063C', 'YIL084C', 'YML109W', 'YMR273C', 'YMR307W', 'YOL012C', 'YOL017W', 'YPR023C']"
chromatin silencing at rDNA,22,"['YAL019W', 'YBR279W', 'YDL042C', 'YDR026C', 'YDR110W', 'YDR439W', 'YDR448W', 'YER088C', 'YGL037C', 'YJL076W', 'YJL127C', 'YJR119C', 'YKR010C', 'YKR019C', 'YLR285W', 'YML109W', 'YMR179W', 'YOL006C', 'YOR209C', 'YOR244W', 'YOR304W', 'YPL015C']"
chromatin silencing at silent mating-type cassette,42,"['YAL019W', 'YAR002W', 'YBL052C', 'YBR060C', 'YBR088C', 'YBR202W', 'YBR275C', 'YCL061C', 'YDL042C', 'YDL116W', 'YDL197C', 'YDR227W', 'YDR310C', 'YDR363W', 'YEL032W', 'YHR118C', 'YHR119W', 'YIL150C', 'YIR033W', 'YJL080C', 'YJL115W', 'YJL127C', 'YKL020C', 'YKL112W', 'YKR082W', 'YKR101W', 'YLL004W', 'YLR272C', 'YLR335W', 'YLR442C', 'YML065W', 'YMR080C', 'YMR127C', 'YMR179W', 'YMR284W', 'YNL216W', 'YNL261W', 'YOL012C', 'YOL068C', 'YOL090W', 'YOR080W', 'YPR162C']"
chromatin silencing at telomere,58,"['YAL019W', 'YAR003W', 'YBL052C', 'YBR060C', 'YBR088C', 'YBR175W', 'YBR202W', 'YCL061C', 'YDL042C', 'YDL074C', 'YDL084W', 'YDR181C', 'YDR191W', 'YDR227W', 'YDR440W', 'YDR448W', 'YDR469W', 'YEL032W', 'YEL056W', 'YER088C', 'YER120W', 'YGL037C', 'YGL058W', 'YGL133W', 'YGL150C', 'YHR119W', 'YIL150C', 'YJL019W', 'YJL065C', 'YJL080C', 'YJL115W', 'YJL127C', 'YLL022C', 'YLR015W', 'YLR052W', 'YLR223C', 'YLR274W', 'YLR288C', 'YLR442C', 'YML121W', 'YMR106C', 'YMR127C', 'YMR179W', 'YMR219W', 'YMR235C', 'YMR247C', 'YMR284W', 'YNL107W', 'YNL186W', 'YNL216W', 'YOR025W', 'YOR080W', 'YOR209C', 'YOR213C', 'YOR304W', 'YPL001W', 'YPL138C', 'YPL216W']"
chromatin-mediated maintenance of transcription,1,['YKL160W']
chromosome condensation,8,"['YBL097W', 'YDR174W', 'YDR325W', 'YFR031C', 'YIL031W', 'YLR086W', 'YLR272C', 'YPL127C']"
chromosome decondensation,1,['YJL030W']
chromosome organization,18,"['YAR002W', 'YDR113C', 'YDR246W', 'YFL008W', 'YFR027W', 'YFR031C', 'YFR042W', 'YGR002C', 'YGR159C', 'YJL038C', 'YJL074C', 'YKR038C', 'YLR086W', 'YML061C', 'YMR190C', 'YNL152W', 'YNL218W', 'YOR272W']"
chromosome organization involved in meiotic cell cycle,3,"['YER095W', 'YER179W', 'YNL250W']"
chromosome segregation,72,"['YAL031C', 'YAL034W-A', 'YAR018C', 'YBL031W', 'YBL079W', 'YBR156C', 'YBR233W-A', 'YCR041W', 'YDL003W', 'YDL028C', 'YDL139C', 'YDR016C', 'YDR022C', 'YDR052C', 'YDR110W', 'YDR113C', 'YDR201W', 'YDR254W', 'YDR320C-A', 'YDR374W-A', 'YDR409W', 'YDR419W', 'YER018C', 'YER133W', 'YER147C', 'YFR028C', 'YFR046C', 'YGL061C', 'YGL071W', 'YGL249W', 'YGR052W', 'YGR098C', 'YGR113W', 'YGR140W', 'YGR275W', 'YHR122W', 'YHR199C-A', 'YIL026C', 'YIL126W', 'YIL144W', 'YIR010W', 'YIR011C', 'YJL080C', 'YJR060W', 'YJR089W', 'YJR112W', 'YJR135C', 'YKL052C', 'YKL089W', 'YKL138C-A', 'YKL193C', 'YKR037C', 'YKR083C', 'YLR315W', 'YLR321C', 'YLR357W', 'YLR381W', 'YMR117C', 'YMR311C', 'YOL006C', 'YOL069W', 'YOR073W', 'YOR156C', 'YOR195W', 'YPL018W', 'YPL137C', 'YPL200W', 'YPL209C', 'YPL233W', 'YPR007C', 'YPR046W', 'YPR179C']"
chromosome separation,3,"['YDL028C', 'YLR383W', 'YOL034W']"
cinnamic acid catabolic process,2,"['YDR538W', 'YDR539W']"
cis assembly of pre-catalytic spliceosome,1,['YLR117C']
citrate metabolic process,2,"['YCR005C', 'YNR001C']"
citrulline biosynthetic process,3,"['YJL088W', 'YJL130C', 'YJR109C']"
clathrin coat assembly,4,"['YGR167W', 'YGR241C', 'YHR161C', 'YNL243W']"
clathrin coat disassembly,2,"['YAL005C', 'YDR320C']"
clathrin-dependent endocytosis,9,"['YBL037W', 'YDL091C', 'YDR320C', 'YGR167W', 'YGR241C', 'YHL019C', 'YHR161C', 'YJR058C', 'YOL062C']"
"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",9,"['YDR457W', 'YDR500C', 'YGL246C', 'YJL177W', 'YKL180W', 'YKR063C', 'YLL035W', 'YLR185W', 'YOR048C']"
cleavage involved in rRNA processing,5,"['YDL208W', 'YHR052W', 'YHR072W-A', 'YOR056C', 'YOR287C']"
cobalt ion transport,2,"['YHR050W', 'YOR316C']"
coenzyme A biosynthetic process,7,"['YDR196C', 'YDR531W', 'YGR277C', 'YIL083C', 'YKL088W', 'YKR072C', 'YOR054C']"
coenzyme A catabolic process,1,['YLR151C']
coenzyme A metabolic process,2,"['YLR450W', 'YML075C']"
coenzyme A transmembrane transport,1,['YHR002W']
coenzyme A transport,1,['YHR002W']
conjugation,5,"['YBL016W', 'YCR089W', 'YDL223C', 'YLR313C', 'YNL279W']"
conjugation with cellular fusion,16,"['YBR040W', 'YBR081C', 'YBR095C', 'YBR200W', 'YCR009C', 'YGR238C', 'YGR279C', 'YHR084W', 'YJL078C', 'YJL170C', 'YLL043W', 'YLR110C', 'YLR229C', 'YLR330W', 'YMR232W', 'YMR305C']"
conversion of methionyl-tRNA to N-formyl-methionyl-tRNA,1,['YBL013W']
copper ion export,2,"['YDR270W', 'YIL121W']"
copper ion homeostasis,2,"['YDR270W', 'YJL077C']"
copper ion import,11,"['YHR175W', 'YKL220C', 'YLL051C', 'YLR214W', 'YLR411W', 'YMR319C', 'YNR060W', 'YOL152W', 'YOR381W', 'YOR384W', 'YPR124W']"
copper ion transmembrane transport,5,"['YER053C', 'YHR175W', 'YLR411W', 'YMR319C', 'YPR124W']"
copper ion transport,9,"['YDR270W', 'YHR175W', 'YKL220C', 'YLR214W', 'YLR411W', 'YNL259C', 'YOL122C', 'YOL152W', 'YPR124W']"
cortical actin cytoskeleton organization,6,"['YDL222C', 'YDR126W', 'YGL206C', 'YML052W', 'YNL194C', 'YOR329C']"
cortical cytoskeleton organization,4,"['YIL118W', 'YKR055W', 'YNL090W', 'YPR165W']"
cortical protein anchoring,2,"['YCL027W', 'YDR150W']"
covalent chromatin modification,2,"['YBL052C', 'YHR090C']"
cristae formation,11,"['YBR262C', 'YCL057C-A', 'YDR322C-A', 'YFR011C', 'YGR235C', 'YKR016W', 'YLR168C', 'YLR295C', 'YNL100W', 'YOR211C', 'YPR020W']"
cyanamide metabolic process,2,"['YFL061W', 'YNL335W']"
cyclic nucleotide biosynthetic process,1,['YJL005W']
cyclic nucleotide metabolic process,1,['YGR247W']
cyclic threonylcarbamoyladenosine biosynthetic process,2,"['YHR003C', 'YKL027W']"
cysteine biosynthetic process,9,"['YAL012W', 'YGR012W', 'YGR155W', 'YIL046W', 'YIR017C', 'YKL001C', 'YLR303W', 'YNL103W', 'YPR167C']"
cysteine biosynthetic process from serine,2,"['YGR012W', 'YGR155W']"
cysteine biosynthetic process via cystathionine,3,"['YAL012W', 'YGL184C', 'YGR155W']"
cysteine transmembrane transport,1,['YLL055W']
cysteine transport,1,['YLL055W']
cysteinyl-tRNA aminoacylation,1,['YNL247W']
cytidine catabolic process,2,"['YDR400W', 'YLR245C']"
cytidine deamination,1,['YLR245C']
cytidine metabolic process,1,['YPR062W']
cytidine transport,1,['YER056C']
cytochrome c-heme linkage,3,"['YAL039C', 'YKL087C', 'YOR037W']"
cytochrome complex assembly,1,['YKL208W']
cytogamy,11,"['YBR040W', 'YCL014W', 'YCL027W', 'YCR089W', 'YDL240W', 'YFL026W', 'YGR152C', 'YHR158C', 'YKL178C', 'YMR232W', 'YPR122W']"
cytokinin biosynthetic process,1,['YJL055W']
cytoplasmic mRNA processing body assembly,6,"['YCR077C', 'YDL160C', 'YEL015W', 'YER112W', 'YLR438C-A', 'YPR129W']"
cytoplasmic microtubule organization,8,"['YAL047C', 'YCL029C', 'YFL037W', 'YHR172W', 'YKR054C', 'YLR212C', 'YNL126W', 'YPL174C']"
cytoplasmic sequestering of protein,1,['YER075C']
cytoplasmic sequestering of transcription factor,2,"['YLR011W', 'YNL229C']"
cytoplasmic translation,148,"['YAL005C', 'YAL036C', 'YBL027W', 'YBL072C', 'YBL087C', 'YBL092W', 'YBR031W', 'YBR048W', 'YBR061C', 'YBR084C-A', 'YBR181C', 'YBR191W', 'YBR261C', 'YCR031C', 'YDL061C', 'YDL075W', 'YDL081C', 'YDL082W', 'YDL083C', 'YDL130W', 'YDL133C-A', 'YDL136W', 'YDL184C', 'YDL191W', 'YDL229W', 'YDR012W', 'YDR025W', 'YDR064W', 'YDR152W', 'YDR382W', 'YDR418W', 'YDR447C', 'YDR450W', 'YDR471W', 'YDR500C', 'YEL054C', 'YER056C-A', 'YER074W', 'YER102W', 'YER117W', 'YER131W', 'YFL034C-A', 'YFR031C-A', 'YFR032C-A', 'YGL030W', 'YGL031C', 'YGL076C', 'YGL103W', 'YGL135W', 'YGL147C', 'YGL189C', 'YGR027C', 'YGR034W', 'YGR085C', 'YGR148C', 'YGR173W', 'YGR214W', 'YGR271W', 'YHL001W', 'YHL015W', 'YHL033C', 'YHR010W', 'YHR021C', 'YHR064C', 'YHR141C', 'YHR168W', 'YHR203C', 'YIL018W', 'YIL052C', 'YIL069C', 'YIL133C', 'YIL148W', 'YJL136C', 'YJL177W', 'YJL189W', 'YJL190C', 'YJL191W', 'YJR094W-A', 'YJR145C', 'YKL006W', 'YKL056C', 'YKL156W', 'YKL180W', 'YKR057W', 'YKR094C', 'YLL045C', 'YLR029C', 'YLR048W', 'YLR061W', 'YLR075W', 'YLR167W', 'YLR185W', 'YLR192C', 'YLR262C-A', 'YLR264W', 'YLR287C-A', 'YLR325C', 'YLR333C', 'YLR340W', 'YLR344W', 'YLR367W', 'YLR388W', 'YLR406C', 'YLR441C', 'YLR448W', 'YML024W', 'YML026C', 'YML063W', 'YML073C', 'YML091C', 'YMR121C', 'YMR142C', 'YMR143W', 'YMR194W', 'YMR230W', 'YMR242C', 'YNL067W', 'YNL069C', 'YNL096C', 'YNL162W', 'YNL178W', 'YNL209W', 'YNL301C', 'YNL302C', 'YOL039W', 'YOL040C', 'YOL120C', 'YOL121C', 'YOL127W', 'YOR091W', 'YOR096W', 'YOR167C', 'YOR182C', 'YOR234C', 'YOR293W', 'YOR312C', 'YOR369C', 'YPL079W', 'YPL081W', 'YPL090C', 'YPL131W', 'YPL143W', 'YPL198W', 'YPL220W', 'YPL249C-A', 'YPR043W', 'YPR102C', 'YPR163C']"
cytoplasmic translational elongation,3,"['YDR382W', 'YGR169C-A', 'YOL039W']"
cytoplasmic translational initiation,9,"['YBR079C', 'YDR429C', 'YJL138C', 'YKR059W', 'YLR192C', 'YMR146C', 'YMR309C', 'YOR260W', 'YOR361C']"
cytoplasmic translational termination,2,"['YBR143C', 'YDR172W']"
cytosine metabolic process,2,"['YDR520C', 'YPR062W']"
cytosine transport,3,"['YER056C', 'YER060W', 'YER060W-A']"
cytoskeleton organization,14,"['YAR014C', 'YBR109C', 'YCR030C', 'YDR106W', 'YDR171W', 'YFL047W', 'YIL126W', 'YJL042W', 'YJL179W', 'YKL203C', 'YMR032W', 'YNL127W', 'YNL138W', 'YOL076W']"
cytoskeleton-dependent cytokinesis,7,"['YCR002C', 'YDL225W', 'YDR218C', 'YGR059W', 'YHR107C', 'YJR076C', 'YLR314C']"
cytosol to ER transport,1,['YOR254C']
dITP catabolic process,1,['YBR252W']
dTDP biosynthetic process,1,['YJR057W']
dTMP biosynthetic process,2,"['YHR144C', 'YOR074C']"
dTTP biosynthetic process,2,"['YJR057W', 'YOR074C']"
dUDP biosynthetic process,1,['YJR057W']
dUMP biosynthetic process,2,"['YBR252W', 'YHR144C']"
dUTP catabolic process,1,['YBR252W']
deactivation of mitotic spindle assembly checkpoint,3,"['YDR130C', 'YGL003C', 'YIR025W']"
deadenylation-dependent decapping of nuclear-transcribed mRNA,14,"['YCR077C', 'YDL160C', 'YDL165W', 'YDR370C', 'YER035W', 'YGL222C', 'YIL038C', 'YJL124C', 'YKL204W', 'YLR270W', 'YNL118C', 'YOL149W', 'YOR173W', 'YPR072W']"
deadenylation-independent decapping of nuclear-transcribed mRNA,7,"['YDL165W', 'YEL015W', 'YER068W', 'YGL246C', 'YNL118C', 'YOL149W', 'YPR072W']"
defense response to virus,5,"['YGL213C', 'YGR271W', 'YJL208C', 'YLR398C', 'YPR189W']"
"dehydro-D-arabinono-1,4-lactone biosynthetic process",2,"['YML086C', 'YMR041C']"
demethylation,2,"['YER044C', 'YHR007C']"
deoxycytidine catabolic process,1,['YLR245C']
deoxyribonucleoside monophosphate catabolic process,2,"['YBR242W', 'YGL101W']"
deoxyribonucleoside triphosphate biosynthetic process,1,['YPL153C']
deoxyribonucleoside triphosphate catabolic process,1,['YJR069C']
deoxyribonucleoside triphosphate metabolic process,1,['YPL033C']
deoxyribonucleotide biosynthetic process,6,"['YER070W', 'YGR180C', 'YGR209C', 'YIL066C', 'YJL026W', 'YLR043C']"
dephosphorylation,60,"['YAR071W', 'YBR022W', 'YBR092C', 'YBR093C', 'YBR126C', 'YBR242W', 'YBR276C', 'YCR015C', 'YCR095C', 'YDL024C', 'YDL047W', 'YDL230W', 'YDR051C', 'YDR284C', 'YDR481C', 'YDR503C', 'YEL038W', 'YER037W', 'YER062C', 'YER075C', 'YER134C', 'YFR025C', 'YFR028C', 'YGL101W', 'YGL224C', 'YGR203W', 'YGR208W', 'YHR043C', 'YHR044C', 'YHR215W', 'YIL053W', 'YIL113W', 'YIR026C', 'YJL005W', 'YJL155C', 'YJR110W', 'YKL033W-A', 'YKR028W', 'YKR043C', 'YLR345W', 'YLR377C', 'YLR410W', 'YML100W', 'YMR027W', 'YMR087W', 'YMR165C', 'YMR261C', 'YNL010W', 'YNL032W', 'YNL053W', 'YNL094W', 'YNL108C', 'YNL128W', 'YNL217W', 'YOL136C', 'YOR110W', 'YOR131C', 'YOR155C', 'YOR208W', 'YOR283W']"
dephosphorylation of RNA polymerase II C-terminal domain,6,"['YDR066C', 'YER133W', 'YER139C', 'YGR186W', 'YMR277W', 'YNL222W']"
detection of glucose,3,"['YDL035C', 'YDL138W', 'YDL194W']"
detection of misfolded protein,1,['YNL007C']
detection of nutrient,2,"['YCR008W', 'YJL165C']"
detection of sucrose stimulus,1,['YDL035C']
detoxification of cadmium ion,2,"['YHR053C', 'YHR055C']"
detoxification of copper ion,2,"['YHR053C', 'YHR055C']"
detoxification of iron ion,1,['YLR220W']
diadenosine hexaphosphate catabolic process,1,['YOR163W']
diadenosine pentaphosphate catabolic process,1,['YOR163W']
diadenosine polyphosphate catabolic process,1,['YOR163W']
dicarboxylic acid transport,4,"['YLR348C', 'YOR222W', 'YPL134C', 'YPL265W']"
dihydrofolate biosynthetic process,2,"['YKL132C', 'YMR113W']"
dihydrofolate metabolic process,1,['YOR236W']
dimethylallyl diphosphate biosynthetic process,1,['YPL117C']
dipeptide transmembrane transport,2,"['YJR152W', 'YKR093W']"
dipeptide transport,2,"['YJR152W', 'YKR093W']"
diphosphoinositol polyphosphate metabolic process,2,"['YNL032W', 'YOR163W']"
disaccharide catabolic process,6,"['YGR287C', 'YGR289C', 'YIL172C', 'YJL216C', 'YJL221C', 'YOL157C']"
distributive segregation,1,['YJL013C']
dodecyl sulfate metabolic process,1,['YOL164W']
dolichol biosynthetic process,4,"['YBR002C', 'YDL193W', 'YIL049W', 'YMR101C']"
dolichol metabolic process,2,"['YIL102C-A', 'YPR183W']"
dolichol-linked oligosaccharide biosynthetic process,10,"['YBL020W', 'YBR070C', 'YBR243C', 'YGL047W', 'YGR227W', 'YIL049W', 'YNL219C', 'YNR030W', 'YOR002W', 'YPR183W']"
dolichyl diphosphate biosynthetic process,1,['YBR243C']
dolichyl monophosphate biosynthetic process,1,['YMR013C']
donor selection,6,"['YIL035C', 'YIL131C', 'YIR002C', 'YMR106C', 'YMR144W', 'YOR061W']"
double-strand break repair,38,"['YAR002W', 'YBL088C', 'YBR098W', 'YBR223C', 'YCR014C', 'YDL002C', 'YDL003W', 'YDL116W', 'YDR180W', 'YDR217C', 'YDR386W', 'YER095W', 'YER147C', 'YFL008W', 'YFR027W', 'YGL090W', 'YGL092W', 'YGR042W', 'YGR056W', 'YHR154W', 'YIL126W', 'YKL045W', 'YKL057C', 'YKR082W', 'YLR032W', 'YLR265C', 'YLR320W', 'YLR321C', 'YMR076C', 'YMR156C', 'YMR224C', 'YNL102W', 'YNL250W', 'YNL262W', 'YOR141C', 'YOR258W', 'YOR290C', 'YOR368W']"
double-strand break repair via break-induced replication,25,"['YBL023C', 'YBR202W', 'YDL017W', 'YDR013W', 'YDR386W', 'YDR489W', 'YEL032W', 'YGL113W', 'YGL201C', 'YIL150C', 'YJL072C', 'YJL090C', 'YJR043C', 'YJR046W', 'YKL108W', 'YLR103C', 'YLR135W', 'YLR274W', 'YML032C', 'YML061C', 'YMR224C', 'YMR284W', 'YOL146W', 'YPR019W', 'YPR135W']"
double-strand break repair via homologous recombination,31,"['YAR007C', 'YBR073W', 'YBR228W', 'YBR289W', 'YDL059C', 'YDL074C', 'YDR075W', 'YDR363W', 'YDR363W-A', 'YEL019C', 'YER095W', 'YGL058W', 'YHR079C-A', 'YJL173C', 'YLR007W', 'YLR288C', 'YLR320W', 'YLR357W', 'YLR383W', 'YML032C', 'YMR078C', 'YMR106C', 'YMR190C', 'YMR224C', 'YMR284W', 'YNL312W', 'YOL034W', 'YOL087C', 'YOR144C', 'YPL022W', 'YPL167C']"
double-strand break repair via nonhomologous end joining,30,"['YBR160W', 'YCR014C', 'YDL042C', 'YDL102W', 'YDR227W', 'YDR369C', 'YFR037C', 'YGL090W', 'YGL168W', 'YGR056W', 'YHR056C', 'YJL092W', 'YKL113C', 'YKL213C', 'YLR247C', 'YLR265C', 'YLR357W', 'YLR442C', 'YMR039C', 'YMR106C', 'YMR137C', 'YMR224C', 'YMR284W', 'YNL133C', 'YNL246W', 'YNL250W', 'YNL262W', 'YNL307C', 'YOL004W', 'YOR005C']"
double-strand break repair via single-strand annealing,3,"['YDL059C', 'YLR265C', 'YML032C']"
"double-strand break repair via single-strand annealing, removal of nonhomologous ends",4,"['YAL027W', 'YLR135W', 'YML095C', 'YPL022W']"
double-strand break repair via synthesis-dependent strand annealing,3,"['YGL163C', 'YIR002C', 'YLR247C']"
drug transmembrane export,19,"['YBR008C', 'YBR043C', 'YBR180W', 'YDR011W', 'YDR338C', 'YDR406W', 'YGR138C', 'YHL035C', 'YHR032W', 'YHR048W', 'YIL120W', 'YIL121W', 'YLL028W', 'YNL065W', 'YNR055C', 'YOR153W', 'YOR273C', 'YOR328W', 'YPR156C']"
dynein-driven meiotic oscillatory nuclear movement,1,['YDR150W']
early endosome to Golgi transport,11,"['YDL113C', 'YDR153C', 'YDR407C', 'YEL048C', 'YER031C', 'YFL038C', 'YGL210W', 'YJL036W', 'YJL204C', 'YJR125C', 'YMR218C']"
early endosome to late endosome transport,3,"['YJR033C', 'YML002W', 'YML003W']"
eisosome assembly,11,"['YGR086C', 'YGR131W', 'YIL105C', 'YKL050C', 'YKL126W', 'YMR031C', 'YMR086W', 'YMR104C', 'YNL047C', 'YPL004C', 'YPR149W']"
electron transport chain,14,"['Q0055', 'Q0250', 'YBL045C', 'YGL055W', 'YGR207C', 'YHR042W', 'YJL045W', 'YKL148C', 'YKR071C', 'YLR038C', 'YNL111C', 'YOR356W', 'YPL252C', 'YPR004C']"
electron transport coupled proton transport,4,"['Q0045', 'Q0060', 'Q0065', 'Q0070']"
endocytic recycling,8,"['YAL026C', 'YBR246W', 'YDR484W', 'YFL038C', 'YJL036W', 'YJL204C', 'YOR357C', 'YPL183C']"
endocytosis,109,"['YAL026C', 'YAL030W', 'YAR042W', 'YBL007C', 'YBL037W', 'YBL047C', 'YBR109C', 'YBR164C', 'YBR207W', 'YBR214W', 'YBR266C', 'YBR288C', 'YCL034W', 'YCR009C', 'YCR028C', 'YCR030C', 'YCR094W', 'YDL019C', 'YDL146W', 'YDL161W', 'YDL222C', 'YDL231C', 'YDL248W', 'YDR069C', 'YDR093W', 'YDR153C', 'YDR348C', 'YDR388W', 'YDR468C', 'YDR490C', 'YEL027W', 'YER123W', 'YER166W', 'YFL039C', 'YGL054C', 'YGL181W', 'YGL206C', 'YGR068C', 'YGR086C', 'YGR167W', 'YGR198W', 'YGR241C', 'YGR284C', 'YHL019C', 'YHR001W', 'YHR016C', 'YHR073W', 'YHR114W', 'YHR135C', 'YHR161C', 'YHR181W', 'YIL002C', 'YIL041W', 'YIL044C', 'YIL048W', 'YIR006C', 'YJL204C', 'YJL207C', 'YJR005W', 'YJR058C', 'YJR125C', 'YKL126W', 'YKL129C', 'YKR001C', 'YKR003W', 'YKR014C', 'YKR019C', 'YKR021W', 'YLL038C', 'YLL050C', 'YLR206W', 'YLR229C', 'YLR240W', 'YLR242C', 'YLR337C', 'YLR392C', 'YLR396C', 'YML001W', 'YML052W', 'YMR109W', 'YMR258C', 'YNL084C', 'YNL093W', 'YNL106C', 'YNL154C', 'YNL180C', 'YNL194C', 'YNL227C', 'YNL243W', 'YNL293W', 'YNL297C', 'YNR075W', 'YOL018C', 'YOL062C', 'YOL100W', 'YOR008C', 'YOR043W', 'YOR089C', 'YOR094W', 'YOR109W', 'YOR223W', 'YOR237W', 'YOR327C', 'YOR329C', 'YPL004C', 'YPL032C', 'YPL145C', 'YPL204W', 'YPR171W']"
"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",33,"['YBL004W', 'YCR057C', 'YDL148C', 'YDL153C', 'YDR339C', 'YDR449C', 'YDR457W', 'YER082C', 'YER127W', 'YFL009W', 'YFR001W', 'YGL171W', 'YGR251W', 'YHR169W', 'YJL010C', 'YJL069C', 'YJL109C', 'YJR002W', 'YKL099C', 'YLR051C', 'YLR129W', 'YLR186W', 'YLR222C', 'YML093W', 'YMR229C', 'YNR054C', 'YOL010W', 'YOR004W', 'YOR310C', 'YPL217C', 'YPR112C', 'YPR137W', 'YPR144C']"
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",44,"['YBL004W', 'YBR247C', 'YCL059C', 'YCR047C', 'YCR057C', 'YDL148C', 'YDL153C', 'YDR339C', 'YDR449C', 'YDR450W', 'YDR457W', 'YER082C', 'YER127W', 'YFR001W', 'YGL171W', 'YGR214W', 'YGR251W', 'YHR169W', 'YJL010C', 'YJL069C', 'YJL109C', 'YJL136C', 'YJR002W', 'YKL099C', 'YKR057W', 'YLR048W', 'YLR051C', 'YLR129W', 'YLR186W', 'YLR222C', 'YML026C', 'YML093W', 'YMR229C', 'YNL308C', 'YNR054C', 'YOL010W', 'YOR004W', 'YOR078W', 'YOR145C', 'YOR294W', 'YOR310C', 'YPR112C', 'YPR137W', 'YPR144C']"
"endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",3,"['YGL078C', 'YMR229C', 'YOL077C']"
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",4,"['YDL060W', 'YHR021C', 'YOL010W', 'YPL217C']"
"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",5,"['YDL060W', 'YGR214W', 'YJL136C', 'YKR057W', 'YLR048W']"
"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",34,"['YBL004W', 'YCR057C', 'YDL148C', 'YDL153C', 'YDR339C', 'YDR449C', 'YDR457W', 'YER082C', 'YFL009W', 'YFR001W', 'YGL171W', 'YGR251W', 'YHR169W', 'YJL010C', 'YJL069C', 'YJL109C', 'YJR002W', 'YKL099C', 'YLR051C', 'YLR129W', 'YLR186W', 'YLR222C', 'YML093W', 'YMR229C', 'YNR054C', 'YOL010W', 'YOR004W', 'YOR078W', 'YOR145C', 'YOR310C', 'YPL217C', 'YPR112C', 'YPR137W', 'YPR144C']"
endoplasmic reticulum calcium ion homeostasis,1,['YNR021W']
endoplasmic reticulum inheritance,12,"['YAL029C', 'YBR130C', 'YDL204W', 'YDR166C', 'YDR233C', 'YDR320C', 'YER008C', 'YER120W', 'YIL090W', 'YNL304W', 'YPR028W', 'YPR055W']"
endoplasmic reticulum mannose trimming,1,['YHR204W']
endoplasmic reticulum membrane fusion,3,"['YDL126C', 'YOR075W', 'YOR165W']"
endoplasmic reticulum membrane organization,6,"['YBL091C-A', 'YBR086C', 'YER120W', 'YML072C', 'YNL087W', 'YOR086C']"
endoplasmic reticulum organization,9,"['YAL011W', 'YDL195W', 'YFL048C', 'YKR044W', 'YLR080W', 'YMR293C', 'YOR165W', 'YOR227W', 'YPR028W']"
endoplasmic reticulum polarization,3,"['YDL225W', 'YER120W', 'YMR124W']"
endoplasmic reticulum tubular network maintenance,2,"['YDL204W', 'YDR233C']"
endoplasmic reticulum tubular network organization,7,"['YDL204W', 'YDR233C', 'YGR026W', 'YHR192W', 'YLL023C', 'YLR064W', 'YPR028W']"
endoplasmic reticulum unfolded protein response,17,"['YBL047C', 'YBR162W-A', 'YBR201W', 'YDR057W', 'YDR372C', 'YDR411C', 'YFL031W', 'YFL044C', 'YFR026C', 'YHL020C', 'YHR029C', 'YHR030C', 'YHR079C', 'YJL034W', 'YJL095W', 'YNL305C', 'YOL013C']"
endoplasmic reticulum-plasma membrane tethering,5,"['YBL091C-A', 'YER120W', 'YML072C', 'YNL087W', 'YOR086C']"
